id,title,genres,overview,cast,director
1125899,Cleaner,"[""Action"", ""Thriller""]","When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.","[""Daisy Ridley"", ""Clive Owen"", ""Taz Skylar"", ""Flavia Watson"", ""Ray Fearon""]",Martin Campbell
1373723,The Codes of War,"[""Action"", ""War""]","War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","[""Noah Gray-Cabey"", ""Michael Grant""]",Paul Anderson
696506,Mickey 17,"[""Science Fiction"", ""Comedy"", ""Adventure""]","Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.","[""Robert Pattinson"", ""Naomi Ackie"", ""Steven Yeun"", ""Mark Ruffalo"", ""Toni Collette""]",Bong Joon Ho
1403735,Laila,"[""Comedy"", ""Romance""]","Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot","[""Vishwak Sen"", ""Akanksha Sharma"", ""Babloo Prithiveeraj"", ""Abhimanyu Singh"", ""Vineet Kumar""]",Ram Narayan
1229730,Carjackers,"[""Action"", ""Adventure""]","By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?","[""Zo\u00e9 Marchal"", ""Franck Gastambide"", ""Bosh"", ""Mareva Ranarivelo"", ""Alassane Diong""]",Kamel Guemra
1195585,The Hard Hit,"[""Action"", ""Thriller"", ""Crime""]","An Interpol agent hunting the head of a global crime syndicate tracks his target to Las Vegas, but when the criminal organization kills his wife and daughter, he goes above the law to get his revenge.","[""Brian Ronan Mulroy"", ""Jamie Ohlsen"", ""Malachi Durant"", ""Rob LaColla Jr."", ""Trae Ireland""]",Darien Smith
1252309,Ask Me What You Want,"[""Romance"", ""Drama""]","After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.","[""Gabriela Andrada"", ""Mario Ermito"", ""Celia Freijeiro"", ""David Solans"", ""Alba Ribas""]",Lucía Alemany
1126166,Flight Risk,"[""Action"", ""Thriller""]","A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.","[""Mark Wahlberg"", ""Michelle Dockery"", ""Topher Grace"", ""Leah Remini"", ""Maaz Ali""]",Mel Gibson
1101401,Sugar Baby,"[""Thriller"", ""Comedy""]","An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home.","[""Mary Beth Barone"", ""Nina Bloomgarden"", ""James Tupper"", ""Theo Germaine"", ""Paige Collins""]",Lauren Garroni
1195430,Deva,"[""Action"", ""Thriller"", ""Mystery"", ""Crime""]","Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.","[""Shahid Kapoor"", ""Pooja Hegde"", ""Pavail Gulati"", ""Pravessh Rana"", ""Girish Kulkarni""]",Rosshan Andrrews
950396,The Gorge,"[""Romance"", ""Science Fiction"", ""Thriller""]","Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.","[""Miles Teller"", ""Anya Taylor-Joy"", ""Sigourney Weaver"", ""Sope Dirisu"", ""William Houston""]",Scott Derrickson
1208808,Night Shift,"[""Horror""]","A young nurse with a domestic abuse past starts working the night shift at a small hospital, where, during the night, the ghost of a nurse materializes.","[""Paulina Gaita\u0301n"", ""Tony Dalton"", ""Patricia Reyes Sp\u00edndola"", ""Enoc Lea\u00f1o"", ""Fernanda Echevarr\u00eda del Rivero""]",Rigoberto Castañeda
974576,Conclave,"[""Drama"", ""Thriller"", ""Mystery""]","After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.","[""Ralph Fiennes"", ""Stanley Tucci"", ""John Lithgow"", ""Isabella Rossellini"", ""Lucian Msamati""]",Edward Berger
1165067,Cosmic Chaos,"[""Thriller"", ""Science Fiction""]","Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.","[""Curtis Bechdholt"", ""Caroline Dhavernas"", ""Ken Godmere"", ""Jeananne Goossen"", ""Samantha Neale""]",
1020414,Peter Pan's Neverland Nightmare,"[""Horror"", ""Thriller"", ""Fantasy""]","Wendy Darling strikes out in an attempt to rescue her brother Michael from the clutches of the evil Peter Pan who intends to send him to Neverland. Along the way she meets a twisted Tinkerbell, who is hooked on what she thinks is fairy dust.","[""Martin Portlock"", ""Megan Placito"", ""Kit Green"", ""Peter DeSouza-Feighoney"", ""Charity Kase""]",Scott Chambers
1261050,The Quiet Ones,"[""Action"", ""Drama""]","In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.","[""Gustav Dyekj\u00e6r Giese"", ""Reda Kateb"", ""Amanda Collin"", ""Christopher Wagelin"", ""Jens Hult\u00e9n""]",Frederik Louis Hviid
1087891,The Amateur,"[""Thriller"", ""Action""]","After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.","[""Rami Malek"", ""Holt McCallany"", ""Danny Sapani"", ""Rachel Brosnahan"", ""Michael Stuhlbarg""]",James Hawes
1282980,825 Forest Road,"[""Horror"", ""Thriller""]","After a family tragedy, Chuck Wilson hopes to start a new life in Ashland Falls with his wife Maria and little sister Elizabeth, but he quickly discovers that the town has a dark history of being haunted by a ghostly woman who drives residents to suicide.","[""Brian Anthony Wilson"", ""Mike Sutton"", ""Lorenzo Beronilla"", ""Elizabeth Vermilyea"", ""Joe Bandelli""]",Stephen Cognetti
1029880,Nightwatch: Demons Are Forever,"[""Horror"", ""Thriller"", ""Mystery""]","Martin's daughter, Emma, takes up a night watch job to find out what happened to her parents almost thirty years ago. A meeting with Wörmer in his cell pulls the serial killer out of his coma and sets in motion a chain of fateful events.","[""Fanny Leander Bornedal"", ""Nikolaj Coster-Waldau"", ""Kim Bodnia"", ""Ulf Pilgaard"", ""Sonja Richter""]",Ole Bornedal
1226572,Superboys of Malegaon,"[""Comedy"", ""Drama""]","The residents of Malegaon look to Bollywood cinema for a much-needed escape from daily drudgery. Amateur filmmaker Nasir Shaikh gets inspired to make a film for the people of Malegaon, by the people of Malegaon. He bands together his ragtag group of friends to bring his vision to life, thereby bringing a fresh lease of life into the town.","[""Adarsh Gourav"", ""Shashank Arora"", ""Vineet Kumar Singh"", ""Anuj Singh Duhan"", ""Saqib Ayub""]",Reema Kagti
1297763,Batman Ninja vs. Yakuza League,"[""Animation"", ""Action""]","The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!","[""Koichi Yamadera"", ""Yuki Kaji"", ""Kengo Kawanishi"", ""Daisuke Ono"", ""Akira Ishida""]",Jumpei Mizusaki
1356039,Counterattack,"[""Action"", ""Adventure"", ""Thriller""]","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.","[""Luis Alberti"", ""No\u00e9 Hern\u00e1ndez"", ""Leonardo Alonso"", ""Luis Curiel"", ""Guillermo Nava""]",Chava Cartas
447273,Snow White,"[""Family"", ""Fantasy""]","Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.","[""Rachel Zegler"", ""Gal Gadot"", ""Andrew Burnap"", ""Jeremy Swift"", ""Jason Kravits""]",Marc Webb
1103432,Bloody Escape: Bats out of Hell,"[""Animation"", ""Action"", ""Science Fiction""]","After being turned into a cyborg, Kisaragi faces pursuit from vampires and vengeful yakuza.","[""Jun Fukuyama"", ""Show Hayami"", ""Rina Hidaka"", ""Masayo Kurata""]",Goro Taniguchi
912649,Venom: The Last Dance,"[""Action"", ""Science Fiction"", ""Adventure""]","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","[""Tom Hardy"", ""Chiwetel Ejiofor"", ""Juno Temple"", ""Rhys Ifans"", ""Stephen Graham""]",Kelly Marcel
1103432,Bloody Escape: Bats out of Hell,"[""Animation"", ""Action"", ""Science Fiction""]","After being turned into a cyborg, Kisaragi faces pursuit from vampires and vengeful yakuza.","[""Jun Fukuyama"", ""Show Hayami"", ""Rina Hidaka"", ""Masayo Kurata""]",Goro Taniguchi
1064486,Memoir of a Snail,"[""Animation"", ""Drama"", ""Comedy""]","Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.","[""Sarah Snook"", ""Kodi Smit-McPhee"", ""Jacki Weaver"", ""Magda Szubanski"", ""Dominique Pinon""]",Adam Elliot
1010581,My Fault,"[""Romance"", ""Drama""]","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","[""Nicole Wallace"", ""Gabriel Guevara"", ""Marta Hazas"", ""Iv\u00e1n S\u00e1nchez"", ""Eva Ruiz""]",Domingo González
